id_berita,id_judul,teks_kalimat,id_kalimat,f1_lead,f2_judul_sim,f3_freq_word,f4_sim_sent,f5_len_norm,f6_overlap,Label_A1,Label_A2,Label_Final
001_beritabali,Boot PLN ring PKB Kaserbu Pengunjung,"Siosan ring nonton balih-balihan lan ngarauhin stand kuliner ring Pesta Kesenian Bali (PKB), nenten ja rauh akedik kramane ngarauhin fasilitas boot sane sampun kasayagayang olih PT PLN (Persero) Unit Induk Distribusi (UID) Bali. ",0,1,1,1,1,0,1,1,1,1
001_beritabali,Boot PLN ring PKB Kaserbu Pengunjung,PLN nglaksanayang interaksi lan transaksi pelanggan nincap salami pamargin Pesta Kesenian Bali (PKB) ka ping-47 sampun karauhin antuk panyatusan krama sane saking makudang genah. ,1,1,1,1,1,1,1,1,1,1
001_beritabali,Boot PLN ring PKB Kaserbu Pengunjung,"Makudang-kudang layanan sane katurang olih PLN dahat kamiletin olih para kramane, minakadi numbas token listrik, permohonan perubahan daya, pengunduhan aplikasi PLN Mobile, saha ngawewehin antuk nguningayang indik layanan internet Iconnet lan produk-produk berbasis energi bersih. ",2,1,1,1,1,0,1,1,1,1
001_beritabali,Boot PLN ring PKB Kaserbu Pengunjung,"Salamin ngawentenang booth layanan puniki, PLN nglaksanayang belasan pinunas layanan kelistrikan lan dadosan matumbasan token listrik. ",3,1,1,1,1,1,1,0,0,0
001_beritabali,Boot PLN ring PKB Kaserbu Pengunjung,"Mangdane sida malih naut uratian ring booth inucap, PLN taler micayang souvenir lan hadiah majeng ring sapasira ugi sane rauh sane ngalaksanayang transaksi ring genah inucap.",4,1,1,1,1,0,1,0,0,0
001_beritabali,Boot PLN ring PKB Kaserbu Pengunjung,"Siosan punika, mangdane malih ngamolihang hadiah taler kawewehin antuk sayembara ring media sosial majeng ring kramane sane rauh mangda mapoto irika lan ngunggah ring media sosial sekadi Instagram, TikTok, utawi Facebook, antuk tagar lan penandaan akun resmi PLN. ",5,1,1,1,1,1,0,0,0,0
001_beritabali,Boot PLN ring PKB Kaserbu Pengunjung,Ring booth PLN taler wenten genah swafoto lan genah edukasi interaktif saha ngicenin informasi layanan antuk media digital. ,6,1,1,1,1,0,1,0,0,0
001_beritabali,Boot PLN ring PKB Kaserbu Pengunjung,"Pengunjung taler kapicayang galah natasang malih indik sane kabaos transisienergi saha gaya hidup Electrifying Lifestyle, inggih punika pola hidup modern nganggen sakancan piranti mawiwit saking listrik ramah lingkungan, minakadi kendaraan listrik. ",7,1,0,1,1,1,1,1,1,1
001_beritabali,Boot PLN ring PKB Kaserbu Pengunjung,Edukasi puniki kapicayang olih petugas PLN sane sampun sayaga pacang nagingin sakancan pitaken indik energi bersih lan inovasi kelistrikan.,8,1,0,0,1,1,1,1,1,1
001_beritabali,Boot PLN ring PKB Kaserbu Pengunjung,"General Manager PLN UID Bali, Eric Rossi Priyo Nugroho, nguningayang, kawentenan PLN ring PKB puniki wantah pinaka cihna komitmen PLN ngarauhin kramane sareng sami tur sinarengan micayang edukasi langsung  indik layanan kelistrikan modern. ",9,1,1,1,1,1,1,1,1,1
001_beritabali,Boot PLN ring PKB Kaserbu Pengunjung,"""Kawentenan PLN nyarengin ring Pesta Kesenian Bali 2025 pinaka pidabdab sane dahat mabuat pisan anggen nguningayang indik transformasi digital layanan kelistrikan, saha nincapang malih ngawewehin pikayunan kramane indik transisi energi bersih sane dahat mabuat pisan kawentenannyane. ",10,1,1,1,1,0,0,0,0,0
001_beritabali,Boot PLN ring PKB Kaserbu Pengunjung,"Titiang dahat mapangapti majeng ring krama sareng sami sida ngawigunayang kemudahan layanan berbasis digital sakadi PLN Mobile lan sida taler maweweh sauninge pikayunane indik solusi energi ring aab jagate pungkuran,"" atur Eric. ",11,1,0,1,1,1,0,0,0,0
001_beritabali,Boot PLN ring PKB Kaserbu Pengunjung,Rasa sarat taler sida kacingak saking makudang krama sane ngarauhin. ,12,0,1,1,0,0,1,0,0,0
001_beritabali,Boot PLN ring PKB Kaserbu Pengunjung,"Anisa, silih tunggilnyane sane mawit saking Pemogan, Denpasar, ngantenang kayunnyane ring kemudahan layanan sane sampun kapicayang olih PLN manut sakdi daging aplikasi PLN Mobile. ",13,1,0,1,1,1,1,0,0,0
001_beritabali,Boot PLN ring PKB Kaserbu Pengunjung,"""PLN Mobile dahat nanganang, pamekasnyane yening titiang nguningayang indik pengaduan utawi ngecek tagihan. ",14,1,0,0,1,1,0,0,0,0
001_beritabali,Boot PLN ring PKB Kaserbu Pengunjung,Titiang taler nyobyahang indike puniki ring pakulawargan duaning dahat danganang nganggen aplikasi puniki.,15,1,0,0,0,0,1,0,0,0
001_beritabali,Boot PLN ring PKB Kaserbu Pengunjung,"Pangaptin titiang ngapungkuran mangdane sida malih ngalimbakang fitur-fitur sakadi puniki, ""aturnyane. ",16,0,0,0,0,0,1,0,0,0
001_beritabali,Boot PLN ring PKB Kaserbu Pengunjung,"Malarapan antuk momentum puniki, PLN sayaga satata nudut pikayunan kramane mangda satata ngawigunayang layanan digital duaning sasidane gelis tur sada becik yening nganggen akses puniki. ",17,1,0,1,1,0,1,0,0,0
001_beritabali,Boot PLN ring PKB Kaserbu Pengunjung,Aplikasi PLN Mobile sane mangkin pinaka babuatan pinih utama ring layanan kelistrikan sane sida sida ngakses napkala kabuatang tur sida saking sawidangan genah. ,18,1,0,1,1,1,1,1,1,1
